repoName,repoCreatedAt,totalCommits,totalContribuors,commits
external-api-model,2022-01-25T20:49:04Z,21,8,"[{""author"":""tjsteinhaus"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":2,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":790,""deletions"":59,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":15,""deletions"":15,""commitCount"":3}]},{""author"":""molson303"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":685,""deletions"":40,""commitCount"":3}]},{""author"":""ketansonpalmsa"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":352,""deletions"":48,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":174,""deletions"":38,""commitCount"":1}]},{""author"":""mastery-kirtimala-gavade"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":116,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-pranav-kikaganesh"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":56,""deletions"":4,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":34,""deletions"":43,""commitCount"":1}]},{""author"":""mastery-mayuri-kumbhar"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":56,""deletions"":4,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":10,""deletions"":8,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":34,""deletions"":43,""commitCount"":1}]},{""author"":""josephcarey"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":56,""deletions"":4,""commitCount"":2}]},{""author"":""mastery-gautam-ajani"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":55,""deletions"":3,""commitCount"":1}]}]"
mastery-west-dotnet-api-template,2021-07-13T18:17:21Z,0,0,[]
release-train-app,2022-05-25T16:02:32Z,2,1,"[{""author"":""mtintes"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":4,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":920,""deletions"":854,""commitCount"":1}]}]"
data-airflow,2022-02-10T20:13:29Z,10,4,"[{""author"":""chrisluedtke"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":10,""deletions"":1,""commitCount"":1}]},{""author"":""Cristian-hernandez19"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":47,""deletions"":31,""commitCount"":3},{""committedDate"":""2022-09-02"",""additions"":23,""deletions"":4,""commitCount"":3}]},{""author"":""reubenkaburu"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":25,""deletions"":19,""commitCount"":1}]},{""author"":""reuben.kaburu.mastery.net"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":1,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":22,""deletions"":19,""commitCount"":1}]}]"
cloud-software,2022-06-23T19:41:45Z,4,2,"[{""author"":""MDavis1990"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":28,""deletions"":60,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":36,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":23,""deletions"":2,""commitCount"":1}]},{""author"":""arcavaliere"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":3208,""deletions"":137,""commitCount"":1}]}]"
backhaul-newrelic-terraform,2022-04-07T20:21:23Z,0,0,[]
rmis-integration-service,2021-05-14T06:35:13Z,0,0,[]
mastery-centralized-grafana,2022-03-30T15:18:20Z,0,0,[]
procurement-consumers,2022-06-22T13:22:58Z,0,0,[]
mastery-notifications-producer,2020-06-16T14:45:01Z,0,0,[]
federationfaker,2020-11-03T19:18:12Z,0,0,[]
azure-templates,2020-11-20T14:19:32Z,0,0,[]
tf-kubectl-service,2020-07-15T14:02:25Z,0,0,[]
mastery-test-automation,2020-07-17T11:28:24Z,0,0,[]
tf-modules,2020-10-05T21:08:57Z,0,0,[]
ron-user-access-spike,2021-04-14T14:07:21Z,0,0,[]
thundercats-kafka-producer,2021-04-02T13:32:07Z,0,0,[]
mastery-keyvault-uruk,2021-07-01T12:17:12Z,0,0,[]
mastery-keyvault-tin-route,2021-07-01T12:25:06Z,0,0,[]
mastery-nest-testing,2021-03-19T19:44:35Z,0,0,[]
epox-sp-cvrptw,2021-03-01T19:14:11Z,0,0,[]
data-selfservice,2021-05-21T14:48:40Z,0,0,[]
seth-test-workflows,2021-04-28T14:41:59Z,0,0,[]
mastery-keyvault-authority,2021-05-25T15:56:00Z,0,0,[]
bin-ingress,2021-10-04T19:50:03Z,0,0,[]
charge-type-configuration,2021-10-04T21:34:12Z,0,0,[]
epox-route-forecast,2021-08-30T16:51:06Z,0,0,[]
loadex-library-template,2021-10-01T18:20:31Z,0,0,[]
federation-migration-poc,2021-10-21T02:36:55Z,0,0,[]
OctopusWorkerTools,2022-03-21T14:16:09Z,0,0,[]
kafka-io-ts,2020-07-01T16:39:29Z,0,0,[]
hercules-keyvault,2022-03-10T05:05:45Z,0,0,[]
terraform-mastery-redis,2021-06-14T18:34:40Z,0,0,[]
terraform-mastery-kubernetes,2021-08-09T18:40:58Z,0,0,[]
terraform-mastery-nr-nrql-alert-condition,2021-03-29T12:36:21Z,0,0,[]
gha-sandbox,2022-04-05T15:06:13Z,0,0,[]
mastery-infra-kubernetes,2021-08-10T15:09:19Z,0,0,[]
common-checks-dotnet,2022-06-28T16:52:40Z,0,0,[]
mastery-egress-voucher-consumer,2021-03-22T08:33:06Z,0,0,[]
lachesis-fastify-zipkin-plugin,2020-07-20T18:36:10Z,0,0,[]
jsells-release-action-test,2022-07-27T21:43:22Z,0,0,[]
mastery-error-api,2021-01-15T17:31:27Z,0,0,[]
memphis-newrelic-terraform,2022-07-11T14:59:24Z,0,0,[]
mastery-egress-customer-invoice-consumer,2021-12-23T06:59:15Z,0,0,[]
terraform-mastery-cosmosdb,2021-08-16T19:40:19Z,0,0,[]
project,2022-06-29T06:20:06Z,0,0,[]
mastery-ingress-carrier-consumer,2020-08-11T21:10:59Z,0,0,[]
terraform-mastery-newrelic-alerts,2021-06-02T20:24:57Z,0,0,[]
loadex-zx,2022-03-16T19:42:56Z,0,0,[]
lachesis-launch-darkly,2021-03-23T15:13:03Z,0,0,[]
lachesis-redis-client,2021-02-23T17:32:06Z,0,0,[]
linked-routes-nestjs,2022-09-07T16:47:47Z,12,2,"[{""author"":""shanemcfadden"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":141,""deletions"":449,""commitCount"":6},{""committedDate"":""2022-09-07"",""additions"":59533,""deletions"":0,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1362,""deletions"":75,""commitCount"":5}]}]"
lachesis-core,2020-07-14T13:10:11Z,18,4,"[{""author"":""divergentnate"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":25,""deletions"":17,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":195,""deletions"":15,""commitCount"":1}]},{""author"":""Armstr44"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":92,""deletions"":14,""commitCount"":2},{""committedDate"":""2022-09-03"",""additions"":48,""deletions"":43,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":8,""deletions"":17,""commitCount"":2}]},{""author"":""mastery-nitish-shrivastava"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":16,""deletions"":8,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":390,""deletions"":30,""commitCount"":2},{""committedDate"":""2022-09-05"",""additions"":10,""deletions"":6,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":217,""deletions"":117,""commitCount"":3}]},{""author"":""mastery-mayank-shevgaonkar"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":68,""deletions"":32,""commitCount"":1}]}]"
facility,2021-09-09T08:07:42Z,10,3,"[{""author"":""mastery-shashi-ranjan"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":1068,""deletions"":8,""commitCount"":1}]},{""author"":""mastery-prachi-karmalkar"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":6,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":2,""deletions"":2,""commitCount"":4},{""committedDate"":""2022-09-02"",""additions"":18,""deletions"":2,""commitCount"":3}]},{""author"":""mastery-sunny-prakash"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":55,""deletions"":18,""commitCount"":1}]}]"
mastery-ingress-route-consumer,2022-08-30T19:24:35Z,1,1,"[{""author"":""markclark"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":657,""deletions"":711,""commitCount"":1}]}]"
terraform-mastery-vdi,2022-05-05T19:43:22Z,6,1,"[{""author"":""sawyerw-mastery"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":34,""deletions"":15,""commitCount"":4},{""committedDate"":""2022-09-08"",""additions"":44,""deletions"":82,""commitCount"":2}]}]"
graphql-federation-examples,2020-08-16T16:00:57Z,0,0,[]
parse-truck-lists,2019-07-11T12:28:26Z,0,0,[]
eda,2019-07-18T01:37:24Z,0,0,[]
docker_base_images,2019-12-19T20:06:38Z,0,0,[]
tyler-nest-poc,2020-05-27T15:54:31Z,0,0,[]
mastery-notifications,2020-05-28T16:52:15Z,0,0,[]
fp-ts-tutorials,2020-10-23T20:41:50Z,0,0,[]
minion-scripts-sandbox,2020-10-08T15:10:53Z,0,0,[]
mastery-keyvault-blizzard,2021-07-21T09:16:23Z,0,0,[]
cloud-engineering-shared-keyvault,2021-05-11T15:57:04Z,0,0,[]
mastery-keyvault-purple-rain,2021-05-20T16:22:54Z,0,0,[]
load-keyvault-template,2021-06-01T20:17:57Z,0,0,[]
ActionBoard,2021-02-12T17:52:36Z,0,0,[]
backhaul-keyvault,2021-10-15T21:09:08Z,0,0,[]
address-cleansing-utils,2021-11-09T17:45:44Z,0,0,[]
terraform-mastery-cloudflare,2021-09-21T13:51:24Z,0,0,[]
load-bouncer,2022-03-29T14:33:08Z,0,0,[]
graph-utils,2022-04-06T17:15:23Z,0,0,[]
carbon-copy,2020-07-24T15:50:02Z,0,0,[]
mastery-edi-smoke-test-suite,2021-06-21T23:28:29Z,0,0,[]
mastery-keyvault-locomotive,2022-03-02T10:22:44Z,0,0,[]
coreeng-keyvaults,2022-02-24T14:10:35Z,0,0,[]
healthy-hosted-service,2022-06-07T15:00:31Z,0,0,[]
mm-cli,2022-07-15T17:32:09Z,0,0,[]
uruk-newrelic-terraform,2022-07-29T10:43:28Z,0,0,[]
tin-route-newrelic-terraform,2022-07-13T08:06:31Z,0,0,[]
external-api-consumer-template,2021-03-24T21:24:30Z,0,0,[]
mastery-ingress-order-consumer,2022-07-20T16:21:56Z,0,0,[]
terraform-mastery-octopus,2022-02-11T15:51:21Z,0,0,[]
lachesis-graphql-client,2020-08-10T17:07:29Z,0,0,[]
3pi-tracking-fourkites,2022-01-03T05:18:21Z,3,2,"[{""author"":""dependabot[bot]"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":3,""deletions"":3,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":25,""deletions"":14,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":1170,""deletions"":0,""commitCount"":1}]}]"
customer,2021-08-12T06:56:31Z,8,1,"[{""author"":""mastery-prachi-karmalkar"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":6,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":2,""deletions"":2,""commitCount"":5},{""committedDate"":""2022-09-02"",""additions"":9,""deletions"":1,""commitCount"":2}]}]"
mastery-document-generation-service,2020-06-05T13:38:51Z,0,0,[]
terraform-mastery-sqlserver,2021-03-03T20:02:19Z,0,0,[]
mastery-pricing-service,2021-01-12T11:05:07Z,2,1,"[{""author"":""mastery-goraknath-khule"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":41,""deletions"":16,""commitCount"":2}]}]"
mastery-edi-load-orchestration,2021-05-07T06:28:32Z,0,0,[]
3pi-tracking-fourkites,2022-01-03T05:18:21Z,3,2,"[{""author"":""dependabot[bot]"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":3,""deletions"":3,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":25,""deletions"":14,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":1170,""deletions"":0,""commitCount"":1}]}]"
customer,2021-08-12T06:56:31Z,8,1,"[{""author"":""mastery-prachi-karmalkar"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":6,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":2,""deletions"":2,""commitCount"":5},{""committedDate"":""2022-09-02"",""additions"":9,""deletions"":1,""commitCount"":2}]}]"
terraform-mastery-dbcreds,2022-08-23T14:21:16Z,1,1,"[{""author"":""sean-mcginn"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":247,""deletions"":0,""commitCount"":1}]}]"
tracking-updates,2022-01-11T17:51:29Z,4,3,"[{""author"":""shanemcfadden"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":8,""deletions"":54,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":2,""deletions"":12,""commitCount"":2}]},{""author"":""seandanmls"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":2,""commitCount"":1}]}]"
mastery-ingress-load-consumer,2020-09-09T13:46:58Z,2,1,"[{""author"":""Mastery-Ravikant-Kushwaha"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":2,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":2,""deletions"":2,""commitCount"":1}]}]"
customer-default,2021-10-19T06:48:08Z,24,5,"[{""author"":""mastery-naveen-sogarwal"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":911,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":442,""deletions"":9,""commitCount"":7},{""committedDate"":""2022-09-06"",""additions"":778,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":1118,""deletions"":52,""commitCount"":3},{""committedDate"":""2022-09-02"",""additions"":995,""deletions"":116,""commitCount"":4}]},{""author"":""mastery-deepti-bansal"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":150,""deletions"":0,""commitCount"":2},{""committedDate"":""2022-09-05"",""additions"":47,""deletions"":0,""commitCount"":1}]},{""author"":""ext.saikumar@mastery.net"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":14,""deletions"":18,""commitCount"":3}]},{""author"":""mastery-harpreet-bains"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-shubhangi-ambapkar"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":0,""commitCount"":1}]}]"
carrier,2021-09-14T14:01:49Z,9,3,"[{""author"":""mastery-mukul-shende"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":26,""deletions"":18,""commitCount"":1}]},{""author"":""mastery-prachi-karmalkar"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":7,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":2,""deletions"":2,""commitCount"":4},{""committedDate"":""2022-09-02"",""additions"":9,""deletions"":0,""commitCount"":2}]},{""author"":""mastery-monika-shelar"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":85,""deletions"":5,""commitCount"":1}]}]"
mastery-ingress-employee-consumer,2020-07-29T17:34:25Z,1,1,"[{""author"":""mastery-kirtimala-gavade"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":46,""deletions"":3,""commitCount"":1}]}]"
locker,2019-12-17T15:42:13Z,0,0,[]
locking-service,2020-04-29T14:47:54Z,0,0,[]
molo_ten_four_automation,2020-04-14T02:17:14Z,0,0,[]
data-warehouse-audits,2020-08-23T17:15:50Z,0,0,[]
apollo-canary,2020-08-26T15:43:34Z,0,0,[]
nextmv-poc,2020-07-18T00:49:52Z,0,0,[]
tf-k8s-service,2020-06-11T20:14:14Z,0,0,[]
lachesis-git-hooks,2020-07-23T13:40:40Z,0,0,[]
mastery-robot,2020-06-18T18:46:35Z,0,0,[]
mastery-infrastructure-keycloak,2020-12-10T16:47:27Z,0,0,[]
Central-DevOps,2021-01-06T16:56:15Z,0,0,[]
loadex-typeorm-subscriptions,2021-02-19T20:40:56Z,0,0,[]
cloud-monitoring,2021-02-09T15:12:03Z,0,0,[]
epox-driver-itin-matching,2021-03-17T18:33:07Z,0,0,[]
mastery-postgres-db,2020-12-01T14:44:26Z,0,0,[]
mastery-keyvault-flatbed,2021-07-12T20:47:52Z,0,0,[]
epox-constrained-sp-cs,2021-09-15T18:59:01Z,0,0,[]
mastery-ingress-tests,2021-09-16T22:11:33Z,0,0,[]
mastery-relay,2021-08-30T16:12:23Z,0,0,[]
mastery-keyvault-de-rails,2021-09-22T06:43:25Z,0,0,[]
driver-ios-swiftui,2021-08-10T14:45:16Z,0,0,[]
epox-fuel-optimizer-cs,2022-05-20T20:14:08Z,0,0,[]
terraform-mastery-azure-log-query-monitor,2021-03-15T14:14:11Z,0,0,[]
external-api-monitoring,2021-08-04T17:39:11Z,0,0,[]
mastery-hub-networking,2022-02-21T19:15:19Z,0,0,[]
helios-dependency-graph-poc,2022-06-21T15:09:56Z,0,0,[]
mastery-hub-octopus,2022-04-04T19:54:53Z,0,0,[]
aardwolf-template-repo,2022-07-18T21:27:59Z,0,0,[]
temp-historical-data-utility,2022-03-24T15:37:35Z,0,0,[]
core-eng-consumer,2022-02-25T16:46:34Z,0,0,[]
slack-consumer-newrelic-terraform,2022-07-25T21:45:37Z,0,0,[]
tests-playground,2022-03-23T08:11:43Z,0,0,[]
lachesis-client-credentials,2020-09-18T19:49:51Z,0,0,[]
lachesis-fastify-producer-plugin,2021-01-19T16:40:13Z,0,0,[]
mastery-west-newrelic-terraform-template,2022-04-06T20:39:17Z,0,0,[]
mastery-egress-auto-truck-templates-consumer,2021-11-09T07:34:42Z,0,0,[]
mastery-egress-tracking-update-consumer,2021-02-15T19:17:48Z,0,0,[]
mastery-edi-message-store,2020-07-03T14:19:38Z,0,0,[]
mastery-ingress-stop-event-consumer,2021-05-26T20:10:29Z,0,0,[]
mastery-clients-dotnet,2021-11-26T09:11:50Z,2,2,"[{""author"":""mdabbaghMLS"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":2875,""deletions"":0,""commitCount"":1}]},{""author"":""PalleNaresh1243"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":2875,""deletions"":0,""commitCount"":1}]}]"
authority-newrelic-terraform,2021-08-04T04:05:15Z,0,0,[]
terraform-mastery-confluentcloud,2022-02-25T13:53:36Z,0,0,[]
mastery-egress-load-consumer,2021-04-05T15:30:52Z,0,0,[]
api-key-vaults,2021-11-02T18:31:48Z,0,0,[]
ratequote,2021-02-26T10:03:11Z,0,0,[]
mastery-regions-v2-service,2021-07-19T16:10:39Z,1,1,"[{""author"":""mastery-akshay-bhagwat"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":0,""deletions"":1,""commitCount"":1}]}]"
mastery-ad,2020-02-26T16:06:11Z,0,0,[]
graphql-kafka-subscriptions,2020-06-01T20:27:29Z,0,0,[]
spike-graphql-subscription,2020-05-12T19:03:36Z,0,0,[]
mastery-test-data-generation,2020-11-27T12:27:11Z,0,0,[]
spike-workflow_dispatch,2020-07-07T19:06:44Z,0,0,[]
frontend-subscription-spike,2020-10-01T22:03:01Z,0,0,[]
python-project-template,2020-07-20T20:18:46Z,0,0,[]
procurement-revenova-sync,2021-08-02T18:24:55Z,0,0,[]
fifth-wheel-keyvault,2021-05-20T13:58:25Z,0,0,[]
epox-distance-calculator,2021-07-15T23:08:24Z,0,0,[]
lachesis-schema-compatibility,2021-04-22T18:51:57Z,0,0,[]
mastery-keyvault-coffeeroute,2021-06-15T19:13:08Z,0,0,[]
csv-to-json-schema,2021-05-11T17:38:23Z,0,0,[]
epox-uhgs-vrp,2021-02-19T17:57:39Z,0,0,[]
terraform-mastery-qa-automation-vm,2021-03-10T17:08:21Z,0,0,[]
driver-service,2021-08-24T15:47:40Z,0,0,[]
kafka-stress-test,2021-12-03T13:48:12Z,0,0,[]
tf-cloud-jira-integration-test,2021-09-13T18:12:33Z,0,0,[]
temp-deployment-issue,2021-09-17T09:04:11Z,0,0,[]
test-sq-dvwa,2021-09-29T16:10:35Z,0,0,[]
epox-driver-assignment-poc,2021-09-17T17:58:29Z,0,0,[]
team-bhishma-alerts,2022-04-21T20:29:08Z,0,0,[]
masterview,2021-09-23T22:54:54Z,0,0,[]
terraform-mastery-redis-azure-monitors,2021-03-12T22:06:32Z,0,0,[]
terraform-mastery-github-management,2021-06-28T17:48:07Z,0,0,[]
epox-distance-calculator-cs,2021-08-05T19:48:12Z,0,0,[]
edi-postman-collection,2022-05-26T11:01:43Z,0,0,[]
saltroute-newrelic-terraform,2022-06-23T09:01:21Z,0,0,[]
mastery-egress-stop-event-consumer,2021-05-25T09:12:14Z,0,0,[]
commitzen-sandbox,2022-07-11T18:22:05Z,0,0,[]
mastery-egress-trailer-consumer,2022-08-10T06:24:46Z,0,0,[]
graph-test-api-dotnet,2022-08-01T15:29:24Z,0,0,[]
kafka-tools,2022-08-24T18:10:01Z,0,0,[]
mastery-ingress-auto-truck-template-consumer,2021-10-01T04:12:51Z,0,0,[]
terraform-mastery-postgres-server,2021-08-16T20:03:29Z,0,0,[]
mastery-eslintrc,2020-10-08T19:59:31Z,0,0,[]
mastery-ingress-data-loader,2021-01-14T18:18:21Z,0,0,[]
lachesis-fastify-oas-plugin,2020-07-20T18:43:32Z,0,0,[]
example-event-hub-consumer,2021-01-14T16:33:28Z,0,0,[]
its-route-capacity-service,2022-06-09T15:54:38Z,0,0,[]
external-api-utils,2022-02-03T18:52:12Z,0,0,[]
procurement-accounting-consumer,2021-10-20T18:29:59Z,0,0,[]
mastery-offers,2020-05-27T18:37:37Z,1,1,"[{""author"":""mastery-ankush-soni"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":1,""commitCount"":1}]}]"
mastery-edi-outbox-service,2022-09-05T05:46:56Z,1,1,"[{""author"":""mastery-amol-wanjare"",""commits"":[{""committedDate"":""2022-09-05"",""additions"":106,""deletions"":0,""commitCount"":1}]}]"
client-exceptions-queue,2022-02-28T19:08:48Z,4,2,"[{""author"":""andrewhessler"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":6,""deletions"":1,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":25,""deletions"":14,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":559,""deletions"":268,""commitCount"":2}]}]"
subscription-api,2020-09-28T17:19:50Z,5,1,"[{""author"":""renovate[bot]"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":1904,""deletions"":2091,""commitCount"":5}]}]"
smc3-microservice,2021-10-22T15:18:31Z,7,2,"[{""author"":""mastery-aditya-yadav"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":2,""deletions"":2,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-nikhil-fegade"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":46,""deletions"":35,""commitCount"":2}]}]"
mastery-pse-custom-code,2022-05-16T17:49:00Z,1,1,"[{""author"":""automastery"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":359,""deletions"":0,""commitCount"":1}]}]"
driver-ios,2020-07-08T14:23:07Z,1,1,"[{""author"":""brandenesmith"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":16,""deletions"":15,""commitCount"":1}]}]"
truck-entry-driver-assignment-consumer,2021-04-28T22:45:20Z,2,1,"[{""author"":""nadiamk"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":765,""deletions"":38,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":12,""deletions"":1,""commitCount"":1}]}]"
mastery-ingress-facility-consumer,2020-08-24T14:56:02Z,1,1,"[{""author"":""mastery-kirtimala-gavade"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":20,""deletions"":2,""commitCount"":1}]}]"
carrier-commitments,2022-09-09T13:48:50Z,1,1,"[{""author"":""mastery-hemanth-savvana"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":2,""deletions"":0,""commitCount"":1}]}]"
cloud-engineering-examples,2022-03-03T18:46:50Z,0,0,[]
faust-avro-internal,2019-09-04T18:57:38Z,0,0,[]
data-loader,2019-07-02T22:43:42Z,0,0,[]
lachesis-logger,2021-01-29T18:29:05Z,0,0,[]
mastery-egress-truck-function,2020-09-16T17:52:47Z,0,0,[]
replication-monitor,2020-09-30T20:33:14Z,0,0,[]
route66-adf-spike,2020-08-24T13:18:47Z,0,0,[]
github-runner,2020-09-03T14:25:16Z,0,0,[]
tf-kubectl-cron,2020-07-20T18:10:50Z,0,0,[]
authority-consumer-template,2021-08-26T19:57:07Z,0,0,[]
mastery-cli,2020-11-11T19:45:41Z,0,0,[]
avro-workbench,2020-10-30T17:12:58Z,0,0,[]
graphql-translator,2021-04-26T19:50:17Z,0,0,[]
debezium-partial-snapshotter,2021-03-10T21:32:20Z,0,0,[]
terraform-mastery-sonarqube,2021-06-14T14:24:32Z,0,0,[]
procurement-foundation,2021-07-02T19:35:02Z,0,0,[]
Procurement-Error-Handling,2021-06-14T16:21:20Z,0,0,[]
jira-gh-test,2021-05-21T18:28:05Z,0,0,[]
regionsv2-keyvault,2021-07-30T13:05:15Z,0,0,[]
mastery-centralized-alerting,2022-04-13T15:01:56Z,0,0,[]
lachesis-avro-json-converter,2020-08-17T18:11:36Z,0,0,[]
epox-relay,2021-12-22T22:03:16Z,0,0,[]
edi-newrelic-terraform,2022-04-14T05:33:34Z,0,0,[]
epox-geo-utils,2021-11-04T15:42:10Z,0,0,[]
mastery-vmss,2022-06-20T14:34:27Z,0,0,[]
mastery-egress-carrier-consumer,2021-03-12T07:08:44Z,0,0,[]
mastery-ingress-trailer-consumer,2022-06-27T17:30:19Z,0,0,[]
mastery-env-schema-util,2022-08-26T15:00:50Z,0,0,[]
infra,2019-07-15T19:08:57Z,0,0,[]
ops-infra,2020-12-14T22:18:10Z,0,0,[]
mastery-enterprise-dotnet,2021-07-02T05:49:14Z,0,0,[]
terraform-mastery-masterytooling,2022-08-10T17:14:17Z,0,0,[]
driver-android,2020-07-08T14:23:43Z,0,0,[]
record-management-event-publisher,2022-03-18T05:27:38Z,4,2,"[{""author"":""mastery-dhananjay-shinde"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":0,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-dhananjay-jadhav"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":141,""deletions"":3,""commitCount"":3}]}]"
ddt-snapshot,2021-11-30T22:45:06Z,8,1,"[{""author"":""actions-user"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":37,""deletions"":37,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":8,""deletions"":8,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":7,""deletions"":7,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":3,""deletions"":3,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":47,""deletions"":31,""commitCount"":3}]}]"
elixir-http-poc,2019-10-17T19:41:11Z,0,0,[]
insomnia-plugin-lachesis,2020-06-15T23:39:36Z,0,0,[]
tf-k8s-service-example,2020-06-19T01:18:57Z,0,0,[]
